row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.25289	741.453423189735	-1.66906621961544	0.414081483066697	-4.03076758529335	5.55949965206669e-05	0.000854024336017395
MSTRG.25310	106.54345729399	1.47594568291834	0.375176883455477	3.93399952930067	8.35439465633435e-05	0.0011975690198111
MSTRG.25318	798.671903731334	2.65894650857753	0.201971116256097	13.1649839732827	1.39567247353862e-39	1.07455615082686e-36
MSTRG.2532	200.562287340034	-2.21824084480563	0.651527584739145	-3.40467678846439	0.000662424067510715	0.00674978213416953
MSTRG.25392	152.047764473717	1.45145264373459	0.377551288521143	3.84438535336454	0.000120854968621735	0.00164396921274286
MSTRG.25418	187.493582762736	-7.82364301598171	0.84377233372068	-9.27222036480237	1.82310529284396e-20	4.03346329616789e-18
MSTRG.25422	3684.81638789179	-4.44905672867502	0.660087920379064	-6.74009717693378	1.58280734577436e-11	1.12420205872564e-09
MSTRG.2548	552.735102999304	1.61955340458717	0.315108224083509	5.13967354961185	2.75216194200983e-07	8.59961250970863e-06
MSTRG.25480	340.754024030767	1.3431741877004	0.274607832860102	4.89124499367313	1.0020015028843e-06	2.69364873289343e-05
MSTRG.25492	232.486109662491	-5.79595319773347	0.608476684895764	-9.5253496832444	1.64487203480286e-21	4.52292813226936e-19
MSTRG.2556	311.123772918507	-1.68685986853822	0.277423343812131	-6.08045395660918	1.19842763241164e-09	6.25131031670983e-08
MSTRG.25577	596.812145317423	1.11083619532867	0.219643401539562	5.05745306957736	4.2489294617754e-07	1.25434653804069e-05
MSTRG.25581	4179.34794872632	1.2703880167773	0.174842933460838	7.26588139212296	3.70613676337702e-13	3.12875966760881e-11
MSTRG.25584	196.711162443587	3.67529594049964	0.412384208629018	8.91231008267329	4.99801210041815e-19	9.43154283420083e-17
MSTRG.25620	55.7586123585476	-2.0720803380853	0.600452814287767	-3.45086289676752	0.00055879735923869	0.00586782955298762
MSTRG.25621	1368.22894197245	-1.46691934772178	0.226766239107621	-6.46886129740676	9.87441800486869e-11	6.05295534260231e-09
MSTRG.25625	23.6380774050059	-4.52790009857983	1.28955694293068	-3.51120601800615	0.000446078548341909	0.00485640265751417
MSTRG.25661	577.382623412644	-1.54077649720195	0.363081679738559	-4.24360848586854	2.19953963657742e-05	0.000391282245146416
MSTRG.25663	21644.7894820258	1.54109993510514	0.232330555835884	6.63322105678495	3.28439355940144e-11	2.17244011104326e-09
MSTRG.25669	14.9911920167984	-6.38815679020589	1.42699652748558	-4.47664494423268	7.58251956558814e-06	0.000154934539913419
MSTRG.25675	67.5084745805876	4.00469926232239	0.553386104995763	7.23671813616111	4.596720773907e-13	3.8468557154853e-11
MSTRG.2582	128.656240265929	-3.15270425800936	0.647971169887478	-4.86550081936028	1.14167338072197e-06	3.0061462697861e-05
